math,science,english
78,82,75
65,70,68
55,60,58
35,38,40
90,92,88
22,30,28
45,50,48
60,62,65
33,35,30
72,75,70
80,85,82
18,20,25
40,42,41
58,55,60
67,69,70
25,28,30
95,93,96
38,36,35
48,45,50
70,72,74
62,60,65
30,32,28
85,88,90
55,52,50
44,46,45
20,18,22
66,68,70
73,75,78
39,40,38
59,60,62
83,85,80
27,25,30
46,48,50
68,70,72
75,78,80
32,34,36
52,55,58
88,90,92
41,42,40
60,58,62
24,26,28
71,73,75
64,66,68
35,37,38
91,89,93
49,50,52
29,27,30
56,58,60
77,79,80
34,33,35
63,65,67
82,84,86
26,28,30
47,49,50
69,71,73
74,76,78
31,32,30
53,55,57
87,88,89
42,43,44
61,62,63
23,24,25
79,80,81
57,59,60
36,38,39
92,94,96
50,52,54
28,29,30
65,67,69
76,78,79
33,34,35
54,56,58
89,91,92
43,44,45
62,64,66
21,22,23
81,83,85
58,60,62
37,39,40
93,95,97
51,53,55
27,28,29
67,69,71
78,80,82
34,35,36
55,57,59
90,92,94
45,46,47
63,65,67
25,26,27
84,86,88
59,61,63
38,40,42
